,,,,,,0 K,298.15 K (25 °C) and 0.1 Mpa (1 bar),,,,,
CoI2,,,,ai,312.7420,-,-168.6,-157.7,-,109.,-,
CoI2,in 1000 H2O,,,,312.7420,-,-166.9,-,-,-,-,
CO(IO3)2,,,,ai,408.7384,-,-500.8,-310.4,-,126.,-,
Co(IO3)2·2H2O,,,,cr,444.7692,-,-1082.0,-795.6,-,268.,-,
CoS,,,,cr,90.9972,-,-82.8,-,-,-,-,
Co2S3,,,precipitated,cr,214.0584,-,-147.3,-,-,-,-,
CoSO4,,,,cr,154.9948,-,-888.3,-782.3,-,118.0,-,
CoSO4,,,,ai,154.9948,-,-967.3,-799.1,-,-92.,-,
CoSO4,in 23.31 H2O,,,,154.9948,-,-961.5,-,-,-,-,
CoSO4,in 400 H2O,,,,154.9948,-,-963.6,-,-,-,-,
CoSO4,in 700 H2O,,,,154.9948,-,-964.0,-,-,-,-,
CoSO4,in 1000 H2O,,,,154.9948,-,-964.4,-,-,-,-,
CoSO4,in ∞ H2O,,,,154.9948,-,-967.3,-,-,-,-,
CoSO4·6H2O,,,,cr,263.0872,-2636.995,-2683.6,-2235.36,56.589,367.61,353.38,
CoSO4·7H2O,,,,cr,281.1026,-2926.905,-2979.93,-2473.42,63.166,406.06,390.49,
CoSO4·3Co(OH)2,,,,cr,433.8388,-,-2477.8,-2195.5,-,623.,-,
CoSe,,,,cr,137.8932,-,-61.1,-,-,-,-,
CoSeO4·2H2O,,,,cr,221.9222,-,-1115.0,-,-,-,-,
CoTe2,,,,cr,314.1332,-,-130.,-,-,-,-,
Co3Te4,,,,cr,687.1996,-,-322.,-,-,-,-,
Co5Te6,,,,cr,1060.2660,-,-423.,-,-,-,-,
Co(NO3)2,,,,cr,182.9430,-,-420.5,-,-,-,-,
Co(NO3)2,,,,ai,182.9430,-,-472.8,-276.9,-,180.,-,
Co(NO3)2,in 20 H2O,,,,182.9430,-,-471.79,-,-,-,-,
Co(NO3)2,in 400 H2O,,,,182.9430,-,-472.4,-,-,-,-,
Co(NO3)2·2H2O,,,,cr,218.9738,-,-1021.7,-,-,-,-,
Co(NO3)2·3H2O,,,,cr,236.9892,-,-1325.9,-,-,-,-,
Co(NO3)2·4H2O,,,,cr,255.0046,-,-1630.5,-,-,-,-,
Co(NO3)2·6H2O,,,,cr,291.0354,-,-2211.20,-,-,-,452.,
(Co(NO2)6)<sup>3-</sup>,,,,aq,334.9662,-,-627.6,-,-,-,-,
(Co(NH3))<sup>2+</sup>,,,,ao,75.9639,-,-145.2,-92.4,-,13.,-,
(Co(NH3)2)<sup>2+</sup>,,,,ao,92.9946,-,-,-127.5,-,-,-,
(Co(NH3)3)<sup>2+</sup>,,,,ao,110.0253,-,-,-159.2,-,-,-,
(Co(NH3)4)<sup>2+</sup>,,,,ao,127.0560,-,-,-189.3,-,-,-,
(Co(NH3)6)<sup>3+</sup>,,,,ao,161.1174,-,-584.9,-157.0,-,146.,-,
(Co(NH3)6)N3<sup>2+</sup>,,,,ao,203.1375,-,-322.2,179.9,-,251.,-,
(Co(NH3)3(N3)3),,,,cr,236.0856,-,400.8,-,-,-,-,
(Co(NH3)4(N3)2)N3,,cis,,cr,253.1163,-,380.3,-,-,-,-,
(Co(NH3)4(N3)2)N3,,trans,,cr2,253.1163,-,378.2,-,-,-,-,
(Co(NH3)5N3)(N3)2,,,,cr,270.1470,-,210.9,-,-,-,-,
(Co(NH3)6)(N3)3,,,,cr,287.1777,-,128.4,-,-,-,-,
(Co(NH3)4(H2O)2)<sup>3+</sup>,,,,aq,163.0868,-,-1021.7,-,-,-,-,
(Co(NH3)4(NO3)H2O)<sup>2+</sup>,,,,aq,207.0763,-,-865.3,-,-,-,-,
(Co(NH3)5H2O)<sup>3+</sup>,,,,aq,162.1021,-,-760.2,-,-,-,-,
(Co(NH3)2(NO2)4)<sup>-</sup>,,,,aq,277.0166,-,-659.4,-,-,-,-,
(Co(NH3)3(NO2)3),,,,cr,248.0418,-,-677.8,-,-,-,-,-
(Co(NH3)3(NO2)3),in 24000 H2O,,,,248.0418,-,-639.3,-,-,-,-,
(Co(NH3)4(NO2)2)<sup>+</sup>,,cis,,aq,219.0670,-,-640.6,-,-,-,-,
(Co(NH3)4(NO2)2)<sup>+</sup>,,trans,,aq2,219.0670,-,-638.9,-,-,-,-,
(Co(NH3)5NO2)<sup>2+</sup>,,,,ao,190.0922,-,-613.4,-167.4,-,163.,-,
(Co(NH3)5NO3)<sup>2+</sup>,,,,aq,206.0916,-,-681.2,-,-,-,-,
(Co(NH3)6)OH<sup>2+</sup>,,,,ao,178.1248,-,-,-330.,-,-,-,
NH4(Co(NH3)2(NO2)4),,,,cr,295.0553,-,-837.6,-,-,-,-,
NH4(Co(NH3)2(NO2)4),in 12000 H2O,,,,295.0553,-,-792.0,-,-,-,-,
(Co(NH3)4(NO2)2)NO3,,cis,,cr,281.0719,-,-898.7,-,-,-,-,
(Co(NH3)4(NO2)2)NO3,in 8000 H2O:i,,,,281.0719,-,-848.1,-,-,-,-,
(Co(NH3)4(NO2)2)NO3,,trans,,cr2,281.0719,-,-896.2,-,-,-,-,
(Co(NH3)4(NO2)2)NO3,in 16000 H2O:i2,,,,281.0719,-,-846.4,-,-,-,-,
(Co(NH3)4(NO3)H2O)(NO3)2,,,,cr,331.0861,-,-1333.0,-,-,-,-,
(Co(NH3)4(NO3)H2O)(NO3)2,in 13000 H2O,,,,331.0861,-,-1279.9,-,-,-,-,
(Co(NH3)5NO2)(NO3)2,,,,cr,314.1020,-,-1088.7,-412.9,-,331.,-,
(Co(NH3)5NO2)(NO3)2,,,,ai,314.1020,-,-1028.0,-389.9,-,456.,-,
(Co(NH3)5NO3)(NO3)2,,,,cr,330.1014,-,-1157.7,-,-,-,-,
(Co(NH3)5NO3)(NO3)2,in 18000 H2O,,,,330.1014,-,-1095.8,-,-,-,-,
(Co(NH3)5H2O)(NO3)3,,,,cr,348.1168,-,-1446.8,-,-,-,-,
(Co(NH3)5H2O)(NO3)3,,,,aq,348.1168,-,-1382.4,-,-,-,-,
(Co(NH3)6)(NO3)3,,,,cr,347.1321,-,-1282.0,-524.5,-,448.,-,
(Co(NH3)6)(NO3)3,,,,ai,347.1321,-,-1207.1,-490.6,-,586.,-,
(Co(NH3)5H2O)(Co(NO2)6),,,,cr,497.0683,-,-1483.2,-,-,-,-,
(Co(NH3)6(Co(NO2)6),,,,cr,496.0836,-,-1302.5,-,-,-,-,
Co(NH3)4(NO2)2(Co(NH3)2(NO2)4),,cis,,cr2,496.0836,-,-1384.9,-,-,-,-,
Co(NH3)4(NO2)2(Co(NH3)2(NO2)4),,cis,,aq2,496.0836,-,-1300.0,-,-,-,-,
Co(NH3)4(NO2)2(Co(NH3)2(NO2)4),,trans,,cr3,496.0836,-,-1384.9,-,-,-,-,
Co(NH3)4(NO2)2(Co(NH3)2(NO2)4,,trans,,aq3,496.0836,-,-1298.3,-,-,-,-,
(Co(NH3)5NO2)(Co(NH3)2(NO2)4)2,,,,cr,744.1254,-,-2021.7,-,-,-,-,
(Co(NH3)5NO2)(Co(NH3)2(NO2)4)2,,,,aq,744.1254,-,-1932.2,-,-,-,-,
(Co(NH3)6)(Co(NH3)2(NO2)4)3,,,,cr,992.1672,-,-2733.0,-,-,-,-,
(Co(NH3)6)(Co(NH3)2(NO2)4)3,,,,aq,992.1672,-,-2563.1,-,-,-,-,
(Co(NH3)5NO2)3(Co(NO2)6)2,,,,cr,1240.2089,-,-3293.6,-,-,-,-,
(Co(NH3)5H2O)F3,,,,cr,219.0973,-,-1728.,-,-,-,-,
(Co(NH3)5H2O)F3,,,,aq,219.0973,-,-1701.2,-,-,-,-,
CoCl2·NH3,,,,cr,146.8699,-,-450.6,-,-,-,-,
CoCl2·2NH3,,,rose,cr,163.9006,-,-574.9,-,-,-,-,
CoCl2·2N2H4,,,,cr,193.9300,-,-381.2,-,-,-,-,
(Co(NH3)4Cl2)<sup>+</sup>,,cis,,aq,197.9620,-,-671.5,-,-,-,-,
(Co(NH3)4Cl2)<sup>+</sup>,,trans,,aq2,197.9620,-,-679.1,-,-,-,-,
(Co(NH3)4Cl2)Cl,,cis,,cr,233.4150,-,-874.9,-,-,-,-,
(Co(NH3)4Cl2)Cl,,,,aq,233.4150,-,-838.9,-,-,-,-,
(Co(NH3)4Cl2)Cl,,trans,,cr2,233.4150,-,-877.4,-,-,-,-,
(Co(NH3)4Cl2)Cl,,,,aq2,233.4150,-,-846.4,-,-,-,-,
(Co(NH3)5Cl)<sup>2+</sup>,,,,ao,179.5397,-,-628.0,-291.7,-,341.4,-,
(Co(NH3)5Cl)Cl2,,,,cr,250.4457,-959.22,-1017.1,-582.5,45.81,366.1,239.3,
(Co(NH3)5Cl)Cl2,,,,ai,250.4457,-,-962.3,-554.0,-,454.4,-,
(Co(NH3)5Cl)Cl2,in 5000 H2O,,,,250.4457,-,-962.3,-,-,-,-,
(Co(NH3)6)Cl<sup>2+</sup>,,,,ao,196.5704,-,-770.3,-280.0,-,117.,-,
(Co(NH3)6)Cl2,,,,cr,232.0234,-,-995.8,-,-,-,-,
(Co(NH3)6)Cl3,,,,cr,267.4764,-,-1124.2,-,-,-,320.5,
(Co(NH3)6)Cl3,,,,ai,267.4764,-,-1086.6,-550.6,-,314.,-,
(Co(NH3)4(H2O)2)Cl3,,,,cr,269.4458,-,-1535.1,-,-,-,-,
(Co(NH3)4(H2O)2)Cl3,in 10000 H2O,,,,269.4458,-,-1523.4,-,-,-,-,
(Co(NH3)5H2O)Cl3,,,,cr,268.4611,-1221.39,-1287.8,-777.8,50.08,346.0,275.7,
(Co(NH3)5H2O)Cl3,,,,aq,268.4611,-,-1261.9,-,-,-,-,
(Co(NH3)4(NO2)2)Cl,,trans,,cr2,254.5200,-,-850.2,-,-,-,-,
(Co(NH3)4(NO2)2)Cl,in 11000 H2O:i2,,,,254.5200,-,-806.3,-,-,-,-,
(Co(NH3)4(NO2)2)Cl,,cis,,cr,254.5200,-,-847.3,-,-,-,-,
(Co(NH3)4(NO2)2)Cl,in 10000 H2O:i,,,,254.5200,-,-807.9,-,-,-,-,
(Co(NH3)5NO2)Cl2,,,,cr,260.9982,-,-987.8,-,-,-,-,
(Co(NH3)5NO2)Cl2,,,,aq,260.9982,-,-947.7,-,-,-,-,
(Co(NH3)5NO3)Cl2,,,,cr,276.9976,-,-1063.6,-,-,-,-,
(Co(NH3)5NO3)Cl2,,,,aq,276.9976,-,-1015.5,-,-,-,-,
(Co(NH3)5NO2)(ClO4)2,,,,cr,388.9934,-,-962.,-,-,-,-,
(Co(NH3)5NO2)(ClO4)2,,,,aq,388.9934,-,-871.9,-,-,-,-,
(Co(NH3)6)(ClO4)3,,,,cr,459.4692,-,-1034.7,-221.1,-,615.,-,
(Co(NH3)6)(ClO4)3,,,,ai,459.4692,-,-972.8,-182.6,-,695.,-,
(Co(NH3)5Cl)(NO3)2,,,,cr,303.5495,-,-1112.9,-,-,-,-,
(Co(NH3)5Cl)(NO3)2,,,,ai,303.5495,-,-1042.7,-514.2,-,634.3,-,
(Co(NH3)5Cl)(NO3)2,in 25000 H2O,,,,303.5495,-,-1042.7,-,-,-,-,
(Co(NH3)5Cl)(Co(NH3)2(NO2)4,,,,cr,733.5729,-,-2075.,-,-,-,-,
(Co(NH3)5Cl)(Co(NH3)2(NO2)4,,,,aq,733.5729,-,-1946.8,-,-,-,-,
CoBr2·NH3,,,,cr,235.7819,-,-356.1,-,-,-,-,
CoBr2·2NH3,,,rose,cr,252.8126,-,-485.3,-,-,-,-,
CoBr2·2N2H4,,,,cr,282.8420,-,-298.3,-,-,-,-,
(Co(NH3)5Br)<sup>2+</sup>,,,,aq,223.9957,-,-590.4,-,-,-,-,
(Co(NH3)5Br)Br2,,,,cr,383.8137,-,-886.6,-,-,-,-,
(Co(NH3)5Br)Br2,in 19000 H2O,,,,383.8137,-,-833.5,-,-,-,-,
(Co(NH3)6Br<sup>2+</sup>,,,,ao,241.0264,-,-718.4,-252.8,-,163.,-,
(Co(NH3)6)Br2,,,,cr,320.9354,-,-905.4,-,-,-,-,
(Co(NH3)6)Br3,,,,cr,400.8444,-910.10,-1002.9,-500.9,50.96,325.1,326.8,
(Co(NH3)6)Br3,,,,ai,400.8444,-,-949.8,-469.1,-,393.,-,
(Co(NH3)5H2O)Br3,,,,cr,401.8291,-,-1163.6,-,-,-,-,
(Co(NH3)5H2O)Br3,in 10000 H2O,,,,401.8291,-,-1124.7,-,-,-,-,
(Co(NH3)5NO2)Br2,,,,cr,349.9102,-,-909.2,-,-,-,-,
(Co(NH3)5NO2)Br2,,,,aq,349.9102,-,-856.5,-,-,-,-,
(Co(NH3)5Cl)Br2,,,,cr,339.3577,-,-929.7,-,-,-,-,
(Co(NH3)5Cl)Br2,,,,ai,339.3577,-,-871.1,-499.6,-,506.3,-,
(Co(NH3)5Cl)Br2,in 19000 H2O,,,,339.3577,-,-871.1,-,-,-,-,
COI2·2NH3,,,blue,cr,346.8034,-,-347.,-,-,-,-,
(Co(NH3)5I)I2,,,,cr,524.7999,-,-707.1,-,-,-,-,
(Co(NH3)6)I<sup>2+</sup>,,,,ao,288.0218,-,-648.9,-203.0,-,213.,-,
(Co(NH3)6)I2,,,,cr,414.9262,-,-794.5,-,-,-,289.1,
(Co(NH3)6)I3,,,,cr,541.8306,-,-815.0,-,-,-,310.9,
(Co(NH3)6)I3,,,,ai,541.8306,-,-750.6,-311.7,-,473.,-,
(Co(NH3)5H2O)I3,,,,cr,542.8153,-,-978.6,-,-,-,-,
(Co(NH3)5H2O)I3,,,,aq,542.8153,-,-925.9,-,-,-,-,
(Co(NH3)4(NO2)2)I,,cis,,cr,345.9714,-,-745.6,-,-,-,-,
(Co(NH3)4(NO2)2)I,,trans,,cr2,345.9714,-,-744.8,-,-,-,-,
(Co(NH3)4(NO2)2)I,in 20000 H2O:i2,,,,345.9714,-,-693.7,-,-,-,-,
(Co(NH3)5NO2)I2,,,,cr,443.9010,-,-775.7,-,-,-,-,
(Co(NH3)5NO2)I2,,,,aq,443.9010,-,-723.8,-,-,-,-,
(Co(NH3)5NO3)I2,,,,cr,459.9004,-,-850.2,-,-,-,-,
(Co(NH3)5NO3)I2,,,,aq,459.9004,-,-791.6,-,-,-,-,
(Co(NH3)5I)(NO3)2,,,,cr,395.0009,-,-1017.5,-,-,-,-,
(Co(NH3)5I)Cl2,,,,cr,341.8971,-,-905.8,-,-,-,-,
(Co(NH3)5Cl)I2,,,,cr,433.3485,-,-803.7,-,-,-,-,
(Co(NH3)5Cl)I2,in 12000 H2O,,,,433.3485,-,-738.5,-,-,-,-,
(Co(NH3)5SO4)<sup>+</sup>,,,,aq,240.1483,-,-1370.3,-,-,-,-,
(Co(NH3)5H2O)SO4<sup>+</sup>,,,,aq,258.1637,-,-1670.7,-,-,-,-,
(Co(NH3)4(NO2)2)SO4,,cis,,cr,315.1286,-,-2268.6,-,-,-,-,
(Co(NH3)4(NO2)2)SO4,,cis,,aq,315.1286,-,-2190.3,-,-,-,-,
(Co(NH3)4(NO2)2)SO4,,trans,,cr2,315.1286,-,-2255.6,-,-,-,-,
(Co(NH3)4(NO2)2)SO4,,,,aq2,315.1286,-,-2187.0,-,-,-,-,
(Co(NH3)5SO4)NO3,,,,cr,302.1532,-,-1627.2,-,-,-,-,
(Co(NH3)5SO4)NO3,in 17000 H2O,,,,302.1532,-,-1577.8,-,-,-,-,
(Co(NH3)6)SO4<sup>+</sup>,,,,ao,257.1790,-,-1492.4,-920.9,-,238.,-,
(Co(NH3)5SO4)I,,,,cr,367.0527,-,-1466.9,-,-,-,-,
(Co(NH3)5SO4)I,in 15000 H2O,,,,367.0527,-,-1425.5,-,-,-,-,
Co2P,,,,cr,148.8402,-,-188.,-,-,-,-,
Co3(PO4)2,,,,cr,366.7424,-,-,-2398.6,-,-,-,
CoHPO4,,,,cr,154.9126,-,-,-1181.9,-,-,-,
CoAs,,,,cr,133.8548,-,-40.6,-,-,-,-,
CoAs2,,,,cr,208.7764,-,-61.5,-,-,-,-,
Co2As,,,,cr,192.7880,-,-39.7,-,-,-,-,
Co2As3,,,,cr,342.6312,-,-97.5,-,-,-,-,
Co3As2,,,,cr,326.6428,-,-81.2,-,-,-,-,
Co5As2,,,,cr,444.5092,-,-79.5,-,-,-,-,
Co3(AsO4)2,,,,cr,454.6380,-,-,-1620.8,-,-,-,
CoSb,,,,cr,180.6832,-,-42.,-,-,-,-,
CoSb2,,,,cr,302.4332,-,-54.,-,-,-,-,
CoSb3,,,,cr,424.1832,-,-67.,-,-,-,-,
Co2C,,,,cr,129.8776,-,42.,-,-,-,-,
CoCO3,,,,cr,118.9426,-,-713.0,-,-,-,-,
CoC2O4,,oxalate,,cr,146.9532,-,-851.4,-,-,-,-,
CoC2O4,,,,ai,146.9532,-,-883.2,-728.4,-,-67.,-,
CoC2O4,,,,ao,146.9532,-,-880.7,-755.6,-,31.8,-,
Co(C2O4)2<sup>2-</sup>,,,,ao,234.9732,-,-1709.2,-1442.5,-,109.,-,
(Co(C2O4)3)<sup>3-</sup>,,,,aq,322.9932,-,-2390.3,-,-,-,-,
Co(HCO2)2,,formate,,cr,148.9692,-,-873.2,-,-,-,-,
CoCl2·2C2H5OH,,,,cr,221.9788,-,-915.5,-,-,-,-,
CoCl2·3C2H5OH,,,,cr,268.0486,-,-1221.7,-,-,-,-,
CoCl2·3C2H4(OH)2,,"1,2-ethanediol",,cr,316.0468,-,-1753.1,-,-,-,-,
CoBr2·2CH3OH,,,,cr,282.8364,-,-754.0,-,-,-,-,
CoBr2·2C2H5OH,,,,cr,310.8908,-,-824.7,-,-,-,-,
CoBr2·2C2H4(OH)2,,,,cr,342.8896,-,-1203.3,-,-,-,-,
CoBr2·3C2H5OH,,,,cr,356.9606,-,-1128.0,-,-,-,-,
CoBr2·3C2H4(OH)2,,,,cr,404.9588,-,-1670.3,-,-,-,-,
Co(C2H5OSO3)2,in 1200 H2O,ethylsulfate,,,309.1812,-,-1808.3,-,-,-,-,
Co(CN)6<sup>3-</sup>,,,,ao,215.0406,-,-,-,-,232.6,-,
Co(CNO)2,,,,cr,142.9678,-,-216.7,-,-,-,-,
(Co(C2H4(NH2)2))<sup>2+</sup>,,ethylenediamine,,aq,119.0330,-,-181.4*,-,-,-,-,
(Co(C2H4(NH2)2)2)<sup>2+</sup>,,,,aq,179.1328,-,-305.3*,-,-,-,-,
(Co(C2H4(NH2)2)3)<sup>2+</sup>,,,,aq,239.2326,-,-434.0*,-,-,-,-,
(Co(C2H4(NH2)2)3)<sup>3+</sup>,,,,aq,239.2326,-,-419.8*,-,-,-,-,
(Co(NH3)5CO3)<sup>+</sup>,,,,aq,204.0961,-,-1142.7,-,-,-,-,
(Co(NH3)5HCO2)<sup>2+</sup>,,formate,,aq,189.1047,-,-901.2,-,-,-,-,
(Co(NH3)5CO3)NO3,in 11500 H2O,,,,266.1010,-,-1349.8,-,-,-,-,
(Co(NH3)5CO3)NO3·H2O,,,,cr,284.1164,-,-1687.0,-,-,-,-,
(Co(NH3)5HCO2)(NO3)2,,,,cr,313.1145,-,-1384.5,-,-,-,-,
(Co(NH3)5HCO2)(NO3)2,in 20000 H2O,,,,313.1145,-,-1315.9,-,-,-,-,
CoNH2CH2COO<sup>+</sup>,,glycinate,,ao,132.9931,-,-539.7,-398.2,-,63.,-,
Co(NH3)2(NO2)2C2O4)<sup>-</sup>,,,,aq,273.0256,-,-1238.9,-,-,-,-,
Co(NH3)4C2O4)<sup>+</sup>,,oxalate,,aq,215.0760,-,-1246.8,-,-,-,-,
NH4(Co(NH3)2(NO2)2C2O4),,,,cr,291.0643,-,-1411.7,-,-,-,-,
NH4(Co(NH3)2(NO2)2C2O4),in 13000 H2O,,,,291.0643,-,-1371.5,-,-,-,-,
Co(C2H4(NH2)2)(NH3)(NO2)3,,ethylenediamine,,cr,274.0802,-,-700.1*,-,-,-,-,
Co(NH3)5NO2)C2O4,,,,cr,278.1122,-,-1477.8,-,-,-,-,
Co(NH2CH2COO)2,,glycinate,,ai,207.0530,-,-997.9,-684.3,-,126.,-,
Co(NH2CH2COO)2,,,,ao,207.0530,-,-1024.2,-735.7,-,209.,-,
Co(C2H4(NH2)2)2(NO2)2)<sup>+</sup>,,cis; ethylenediamine,,aq,271.1438,-,-477.6*,-,-,-,-,
Co(C2H4(NH2)2)2(NO2)2)NO3,,cis,,cr,333.1487,-,-766.8*,-,-,-,-,
Co(C2H4(NH2)2)2(NO2)2)NO3,in 13000 H2O,,,,333.1487,-,-723.7*,-,-,-,-,
Co(C2H4(NH2)2)3)(NO3)3,,,,cr,425.2473,-,-1105.5*,-,-,-,-,
Co(C2H4(NH2)2)3)(NO3)3,in 16000 H2O,,,,425.2473,-,-1041.9*,-,-,-,-,
Co(NH3)6)(Co(C2O4)3)·3H2O,,,,cr,538.1568,-,-3907.0,-,-,-,-,
Co(C2H4(NH2)2))Cl2,,,,cr,189.9390,-,-511.5*,-,-,-,-,
CoCl2·1.5C2H4(NH2)2,,,,cr,219.9889,-,-503.6*,-,-,-,-,
Co(C2H4(NH2)2)2Cl2)<sup>+</sup>,,cis,,aq,250.0388,-,-569.3*,-,-,-,-,
Co(C2H4(NH2)2)2Cl2)<sup>+</sup>,,trans,,aq2,250.0388,-,-576.9*,-,-,-,-,
Co(C2H4(NH2)2)2Cl2)Cl,,cis,,cr,285.4918,-,-758.5*,-,-,-,-,
Co(C2H4(NH2)2)2Cl2)Cl,,trans,,cr2,285.4918,-,-754.7*,-,-,-,-,
Co(C2H4(NH2)2)2Cl2)Cl,,cis,,aq,285.4918,-,-736.7*,-,-,-,-,
Co(C2H4(NH2)2)2Cl2)Cl,,trans,,aq2,285.4918,-,-744.2*,-,-,-,-,
Co(C2H4(NH2)2)2Cl2)Cl·HCl·6H2O,,trans,,cr,430.0452,-,-2632.9*,-,-,-,-,
Co(C2H4)(NH2)2)2Cl2)Cl·NH3,,cis,,cr,302.5225,-,-872.*,-,-,-,-,
Co(C2H4(NH2)2)2Cl2)Cl·NH3,,trans,,cr2,302.5225,-,-851.*,-,-,-,-,
(Co(C2H4(NH2)2)2Cl2)Cl·2NH3,,cis,,cr,319.5532,-,-968.*,-,-,-,-,
(Co(C2H4(NH2)2)2Cl2)Cl·2NH3,,trans,,cr2,319.5532,-,-947.*,-,-,-,-,
(Co(C2H4(NH2)2)2Cl2)Cl·4NH3,,cis,,cr,353.6146,-,-1148.*,-,-,-,-,
(Co(C2H4(NH2)2)2Cl2)Cl·4NH3,,trans,,cr2,353.6146,-,-1110.*,-,-,-,-,
(Co(C2H4(NH2)2)2Cl2)Cl·6NH3,,cis,,cr,387.6760,-,-1315.*,-,-,-,-,
(Co(C2H4(NH2)2)3)Cl2,,,,cr,310.1386,-,-771.6*,-,-,-,-,
(Co(NH3)5Cl)C2O4,,,,cr,267.5597,-,-1493.7,-,-,-,-,
(Co(C2H4(NH2)2)2Cl2)NO3,,trans,,cr,312.0437,-,-828.3*,-,-,-,-,
(Co(C2H4(NH2)2)2Cl2)NO3,in 15000 H2O,,,,312.0437,-,-784.4*,-,-,-,-,
(Co(C2H4(NH2)2)3)(ClO4)3,,,,cr,537.5844,-,-878.7*,-,-,-,-,
(Co(C2H4(NH2)2)3)Br2,,,,cr,399.0506,-,-711.8*,-,-,-,-,
(Co(C2H4(NH2)2)3)I3,,,,cr,493.0414,-,-591.3*,-,-,-,-,
(Co(C2H4(NH2)2)3)I3,,,,cr,619.9458,-,-635.2*,-,-,-,-,
(Co(C2H4(NH2)2)3)I2,in 25000 H2O,,,,619.9458,-,-585.4*,-,-,-,-,
(Co(NH3)5HCO2)I2,,,,cr,442.9135,-,-1073.2,-,-,-,-,
(Co(NH3)5HCO2)I2,in 12500 H2O,,,,442.9135,-,-1011.7,-,-,-,-,
CoCNS<sup>+</sup>,,,,ao,117.0151,-,-,29.3,-,-,-,
Co(CNS)2,,,,cr,175.0970,-,101.3,-,-,-,-,
(Co(NH3)5CNS)(NO3)2,,,,cr,326.1784,-,-909.2,-,-,-,-,
CoSi,,,,cr,87.0192,-99.87,-100.4,-98.7,7.45,43.1,44.4,
CoSi2,,,,cr,115.1052,-,-102.9,-,-,-,-,
CoSi3,,,,cr,143.1912,-,-107.1,-,-,-,-,
Co2Si,,,,cr,145.9524,-,-115.5,-,-,-,-,
Co2SiO4,,,,cr,209.9500,-,-1477.,-,-,-,-,
CoSn,,,,cr,177.6232,-,-29.3,-,-,-,-,
Co(BO2)2,,,,cr,144.5528,-,-,-1363.1,-,-,-,
CoAl,,,β’,cr,85.9147,-,-110.5,-,-,-,-,
CoAl2,,,,cr,112.8962,-,-133.1,-,-,-,-,
CoAl4,,,,cr,166.8592,-,-161.1,-,-,-,-,
CoAl5,,,,cr,252.7739,-,-292.9,-,-,-,-,
Table 41:Fe,,,,,,,,,,,,
Iron (Prepared 1966),,,,,,,,,,,,
Fe,,,,cr,55.8470,0,0,0,4.489,27.28,25.10,
Fe,,,,g,55.8470,413.96,416.3,370.7,6.849,180.490,25.677,
Fe<sup>+</sup>,,,,g,55.8470,1173.36,1181.98,-,6.937,-,-,
Fe<sup>2+</sup>,,,,g,55.8470,2735.21,2749.93,-,6.812,-,-,
Fe<sup>3+</sup>,,,,g,55.8470,5692.8,5712.8,-,6.197,-,-,
Fe<sup>2+</sup>,,,,ao,55.8470,-,-89.1,-78.90,-,-137.7,-,
Fe<sup>3+</sup>,,,,ao,55.8470,-,-48.5,-4.7,-,-315.9,-,
FeO0.947O,,wustite,,cr,68.8865,-267.15,-266.27,-245.12,9.46,57.49,48.12,
FeO,,,,cr,71.8464,-,-272.0,-,-,-,-,
FeO2<sup>2-</sup>,,,,ao,87.8458,-,-,-295.3,-,-,-,
Fe2O3,,hematite,,cr,159.6922,-817.80,-824.2,-742.2,15.560,87.40,103.85,
Fe3O4,,magnetite,,cr,231.5386,-1112.11,-1118.4,-1015.4,24.56,146.4,143.43,
FeOH<sup>+</sup>,,,,ao,72.8544,-,-324.7,-277.4,-,-29.,-,
FeOH<sup>2+</sup>,,,,ao,72.8544,-,-290.8,-229.41,-,-142.,-,
FeO(OH),,geothite,,cr,88.8538,-,-559.0,-,-,-,-,
HFeO2<sup>-</sup>,,,,ao,88.8538,-,-,-377.7,-,-,-,
Fe(OH)2,,,precipitated,cr,89.8618,-,-569.0,-486.5,-,88.,-,
Fe(OH)2,,,,g,89.8618,-,-372.,-,-,-,-,
Fe(OH)2<sup>+</sup>,,,,ao,89.8618,-,-,-438.0,-,-,-,
Fe(OH)3,,,precipitated,cr,106.8692,-,-823.0,-696.5,-,106.7,-,
Fe(OH)3,,,,ao,106.8692,-,-,-659.3,-,-,-,
Fe(OH)3<sup>-</sup>,,equivalent to HFeO2<sup>-</sup>(ao) + H2O(l),,ao,106.8692,-,-,-614.9,-,-,-,
Fe(OH)4<sup>2-</sup>,,equivalent to FeO2<sup>2-</sup>(ao) + 2H2O(l),,ao,123.8766,-,-,-769.7,-,-,-,
Fe2(OH)2<sup>4+</sup>,,,,ao,145.7088,-,-612.1,-467.27,-,-356.,-,
FeF<sup>2+</sup>,,,,ao,74.8454,-,-371.1,-322.6,-,-163.,-,
FeF2,,,,cr,93.8438,-710.74,-711.3,-668.6,12.757,86.99,68.12,
FeF2,,,,ai,93.8438,-,-754.4,-636.48,-,-165.3,-,
FeF2,,,,aq,93.8438,-,-745.2,-,-,-,-,
FeF2<sup>+</sup>,,,,ao,93.8438,-,-696.2,-628.4,-,-63.,-,
FeF3,,,,ai,112.8422,-,-1046.4,-840.9,-,-357.3,-,
FeF3,,,,aq,112.8422,-,-1016.3,-,-,-,-,
FeF3,in 1000 HF + 17000 H2O,,,,112.8422,-,-1038.,-,-,-,-,
